Date : 2026-03-12 12:04:43
Directory : c:\Users\jyoti\emergecy
Total : 201 files,  113632 codes, 1076 comments, 3148 blanks, all 117856 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\jyoti\emergecy\backend\tests\ml_models\test_ml_models.py                                                   | Python           |         52 |          8 |          7 |         67 |
| c:\Users\jyoti\emergecy\backend\tests\models\test_models.py                                                         | Python           |         68 |          4 |         14 |         86 |
| c:\Users\jyoti\emergecy\backend\tests\services\test_analytics_service.py                                            | Python           |         41 |          5 |         10 |         56 |
| c:\Users\jyoti\emergecy\backend\tests\services\test_auth_service.py                                                 | Python           |         51 |         11 |         19 |         81 |
| c:\Users\jyoti\emergecy\backend\tests\services\test_emergency_service.py                                            | Python           |         72 |          7 |         11 |         90 |
| c:\Users\jyoti\emergecy\backend\tests\services\test_geospatial_service.py                                           | Python           |         67 |         10 |         12 |         89 |
| c:\Users\jyoti\emergecy\backend\tests\services\test_incident_service.py                                             | Python           |         91 |          8 |         15 |        114 |
| c:\Users\jyoti\emergecy\backend\tests\services\test_ml_service.py                                                   | Python           |         40 |          5 |          5 |         50 |
| c:\Users\jyoti\emergecy\backend\tests\services\test_prediction_service.py                                           | Python           |        109 |         11 |         19 |        139 |
| c:\Users\jyoti\emergecy\backend\tests\services\test_user_service.py                                                 | Python           |         70 |          7 |         15 |         92 |
| c:\Users\jyoti\emergecy\package-lock.json                                                                           | JSON             |        618 |          0 |          1 |        619 |
| c:\Users\jyoti\emergecy\package.json                                                                                | JSON             |         11 |          0 |          1 |         12 |
| c:\Users\jyoti\emergecy\safetrack-frontend\.env                                                                     | Dotenv           |          3 |          0 |          0 |          3 |
| c:\Users\jyoti\emergecy\safetrack-frontend\README.md                                                                | Markdown         |         10 |          0 |          9 |         19 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\api.js.html                                                     | HTML             |        664 |          0 |         15 |        679 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\base.css                                                        | PostCSS          |        203 |          9 |         13 |        225 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\block-navigation.js                                             | JavaScript       |         66 |          7 |         15 |         88 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\coverage-final.json                                             | JSON             |          3 |          0 |          1 |          4 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\helpers.js.html                                                 | HTML             |        893 |          0 |         14 |        907 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\index.html                                                      | HTML             |        116 |          0 |         15 |        131 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\prettify.css                                                    | PostCSS          |          1 |          0 |          1 |          2 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\prettify.js                                                     | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\jyoti\emergecy\safetrack-frontend\coverage\sorter.js                                                       | JavaScript       |        171 |         21 |         19 |        211 |
| c:\Users\jyoti\emergecy\safetrack-frontend\eslint.config.js                                                         | JavaScript       |         28 |          0 |          2 |         30 |
| c:\Users\jyoti\emergecy\safetrack-frontend\index.html                                                               | HTML             |         13 |          0 |          1 |         14 |
| c:\Users\jyoti\emergecy\safetrack-frontend\package-lock.json                                                        | JSON             |      6,299 |          0 |          1 |      6,300 |
| c:\Users\jyoti\emergecy\safetrack-frontend\package.json                                                             | JSON             |         67 |          0 |          1 |         68 |
| c:\Users\jyoti\emergecy\safetrack-frontend\postcss.config.cjs                                                       | JavaScript       |          6 |          0 |          1 |          7 |
| c:\Users\jyoti\emergecy\safetrack-frontend\public\vite.svg                                                          | XML              |          1 |          0 |          0 |          1 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\App.css                                                              | PostCSS          |         37 |          0 |          6 |         43 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\App.jsx                                                              | JavaScript JSX   |        175 |         10 |         22 |        207 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\assets\react.svg                                                     | XML              |          1 |          0 |          0 |          1 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\index.css                                                            | PostCSS          |         84 |          0 |         30 |        114 |
